task,participant,judge,run_id,server_type,file,runtime_s,accuracy_overall,accuracy_univariate,accuracy_bivariate,accuracy_trivariate,accuracy_coherence,accuracy_overall_max,accuracy_univariate_max,accuracy_bivariate_max,accuracy_trivariate_max,accuracy_coherence_max,similarity_cosine_similarity_training_synthetic,similarity_cosine_similarity_training_holdout,similarity_discriminator_auc_training_synthetic,similarity_discriminator_auc_training_holdout,distances_ims_training,distances_ims_holdout,distances_ims_trn_hol,distances_dcr_training,distances_dcr_holdout,distances_dcr_trn_hol,distances_dcr_share,distances_nndr_training,distances_nndr_holdout,distances_nndr_trn_hol,distances_nndr_ratio
FLAT1,Gandagorn,abhishek,1,g5.2xlarge,synthetic-FLAT1-run1.csv.gz,8756,0.991375,0.9978145,0.9935631,0.9827475,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999949,0.9999854,0.506,0.5,0.0,0.0,0.0,0.103,0.103,0.098,0.506,0.093408675336,0.095992226662,0.052150350467,0.9730858277191862
FLAT1,Gandagorn,abhishek,2,g5.2xlarge,synthetic-FLAT1-run2.csv.gz,8678,0.9913495,0.9977724,0.9934898,0.9827862,,0.9901233,0.9969423,0.9919642,0.9814634,,0.9999911,0.9999855,0.501,0.51,0.0,0.0,0.0,0.103,0.104,0.098,0.506,0.103890997286,0.092178247017,0.048530805727,1.1270663160565406
FLAT1,Gandagorn,abhishek,3,g5.2xlarge,synthetic-FLAT1-run3.csv.gz,8679,0.9912982,0.9977657,0.9934502,0.9826786,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999919,0.9999854,0.513,0.493,0.0,0.0,0.0,0.103,0.104,0.098,0.507,0.072880756752,0.090252991241,0.051785507396,0.8075162468287459
FLAT1,Gandagorn,michi,4,g5.2xlarge,synthetic-FLAT1-run4.csv.gz,8676,0.9912585,0.997687,0.9933669,0.9827217,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999932,0.9999854,0.505,0.498,0.0,0.0,0.0,0.211,0.212,0.206,0.507,0.415593851874,0.449516442187,0.346603297378,0.9245353737274684
FLAT1,Gandagorn,michi,5,g5.2xlarge,synthetic-FLAT1-run5.csv.gz,8712,0.9912681,0.9977073,0.9934299,0.9826672,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999846,0.9999855,0.511,0.503,0.0,0.0,0.0,0.103,0.104,0.098,0.507,0.098886669692,0.087085162487,0.046438822666,1.1355168534796236
FLAT1,Gandagorn,michi,6,g5.2xlarge,synthetic-FLAT1-run6.csv.gz,8568,0.9913232,0.9978326,0.9935683,0.9825686,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999932,0.9999854,0.498,0.5,0.0,0.0,0.0,0.103,0.103,0.098,0.505,0.118848937477,0.094870969545,0.051834650729,1.2527429417765839
FLAT2,Tecnarca,shripad,1,g5.2xlarge,synthetic-FLAT2-run1.csv.gz,12909,0.9858024,0.9943018,0.9875211,0.9755843,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999472,0.9999854,0.517,0.495,0.0,0.0,0.0,0.105,0.105,0.098,0.507,0.085434294115,0.080653193208,0.052150350467,1.0592797472341835
FLAT2,Tecnarca,shripad,2,g5.2xlarge,synthetic-FLAT2-run2.csv.gz,13020,0.9855114,0.9940879,0.9871469,0.9752995,,0.9901233,0.9969423,0.9919642,0.9814634,,0.99995,0.9999855,0.512,0.5,0.0,0.0,0.0,0.584,0.585,0.579,0.508,0.598831037371,0.60185212094,0.504588967533,0.9949803556988691
FLAT2,Tecnarca,shripad,3,g5.2xlarge,synthetic-FLAT2-run3.csv.gz,13199,0.9860345,0.9945864,0.9877262,0.975791,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999545,0.9999854,0.52,0.497,0.0,0.0,0.0,0.105,0.105,0.098,0.508,0.078763494222,0.084196773664,0.051785507396,0.9354692679355825
FLAT2,Tecnarca,mario,4,g5.2xlarge,synthetic-FLAT2-run4.csv.gz,12959,0.9851744,0.9937686,0.9867599,0.9749949,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999364,0.9999854,0.51,0.501,0.0,0.0,0.0,0.105,0.105,0.098,0.509,0.089163711006,0.092771826495,0.050846386318,0.9611076376814197
FLAT2,Tecnarca,mario,5,g5.2xlarge,synthetic-FLAT2-run5.csv.gz,12253,0.9850338,0.9936904,0.9866765,0.9747345,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999244,0.9999855,0.518,0.492,0.0,0.0,0.0,0.104,0.104,0.098,0.508,0.081826489992,0.080079643255,0.046438822666,1.0218138676197328
FLAT2,Tecnarca,mario,6,g5.2xlarge,synthetic-FLAT2-run6.csv.gz,12275,0.9852929,0.9940459,0.9870444,0.9747885,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999524,0.9999854,0.52,0.502,0.0,0.0,0.0,0.104,0.105,0.098,0.508,0.095426149188,0.096637744583,0.051834650729,0.9874625033911116
FLAT3,muellermarkus,suhas,1,g5.2xlarge,synthetic-FLAT3-run1.csv.gz,6870,0.9854265,0.9945478,0.9872124,0.9745194,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999793,0.9999854,0.53,0.506,0.0,0.0,0.0,0.104,0.106,0.098,0.516,0.109728813503,0.130201228073,0.052150350467,0.8427632759460477
FLAT3,muellermarkus,suhas,2,g5.2xlarge,synthetic-FLAT3-run2.csv.gz,6871,0.9857077,0.9947845,0.9874623,0.9748763,,0.9901233,0.9969423,0.9919642,0.9814634,,0.9999793,0.9999855,0.533,0.503,0.0,0.0,0.0,0.105,0.106,0.098,0.517,0.111083717326,0.128203065428,0.048530805727,0.8664669363025927
FLAT3,muellermarkus,suhas,3,g5.2xlarge,synthetic-FLAT3-run3.csv.gz,6871,0.9857116,0.9948071,0.9874985,0.9748291,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999782,0.9999854,0.515,0.499,0.0,0.0,0.0,0.104,0.105,0.098,0.516,0.129515568646,0.125689017197,0.051785507396,1.0304445967860691
FLAT3,muellermarkus,andrey,4,g5.2xlarge,synthetic-FLAT3-run4.csv.gz,6911,0.9854542,0.9945562,0.9871738,0.9746325,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999782,0.9999854,0.525,0.501,0.0,0.0,0.0,0.104,0.106,0.098,0.515,0.120270655996,0.086642300925,0.050846386318,1.3881286012949914
FLAT3,muellermarkus,andrey,5,g5.2xlarge,synthetic-FLAT3-run5.csv.gz,6887,0.9856574,0.9948566,0.9874464,0.9746691,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999741,0.9999855,0.56,0.499,0.0,0.0,0.0,0.105,0.106,0.098,0.516,0.113877852539,0.115825230021,0.046438822666,0.9831869318830887
FLAT3,muellermarkus,andrey,6,g5.2xlarge,synthetic-FLAT3-run6.csv.gz,6886,0.9854917,0.9947748,0.9873688,0.9743315,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999766,0.9999854,0.539,0.506,0.0,0.0,0.0,0.105,0.106,0.098,0.516,0.120939568501,0.1034562576,0.051834650729,1.1689922998045892
FLAT4,EugenioTL,abhishek,1,g5.2xlarge,synthetic-FLAT4-run1.csv.gz,7112,0.9838548,0.9927934,0.9854652,0.9733058,,0.9900822,0.9969423,0.9919642,0.98134,,0.9999223,0.9999854,0.517,0.509,0.0,0.0,0.0,0.103,0.104,0.098,0.509,0.096569333243,0.079794830546,0.052150350467,1.2102204188193602
FLAT4,EugenioTL,abhishek,2,g5.2xlarge,synthetic-FLAT4-run2.csv.gz,7071,0.9839077,0.9927934,0.9854652,0.9734645,,0.9901233,0.9969423,0.9919642,0.9814634,,0.9999225,0.9999855,0.514,0.498,0.0,0.0,0.0,0.103,0.104,0.098,0.508,0.092664201742,0.08790142385,0.048530805727,1.054183171140976
FLAT4,EugenioTL,abhishek,3,g5.2xlarge,synthetic-FLAT4-run3.csv.gz,7126,0.9838646,0.9927934,0.9854652,0.9733352,,0.9901056,0.9969423,0.9919642,0.9814104,,0.9999224,0.9999854,0.521,0.497,0.0,0.0,0.0,0.103,0.104,0.098,0.509,0.10415961418,0.081796054491,0.051785507396,1.2734063376059375
FLAT4,EugenioTL,michi,4,g5.2xlarge,synthetic-FLAT4-run4.csv.gz,6938,0.9838914,0.9927934,0.9854652,0.9734157,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999225,0.9999854,0.52,0.489,0.0,0.0,0.0,0.103,0.104,0.098,0.509,0.094520069887,0.081790192492,0.050846386318,1.1556406337623564
FLAT4,EugenioTL,michi,5,g5.2xlarge,synthetic-FLAT4-run5.csv.gz,6911,0.9838561,0.9927934,0.9854652,0.9733096,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999225,0.9999855,0.532,0.5,0.0,0.0,0.0,0.103,0.104,0.098,0.508,0.100823695462,0.085434879651,0.046438822666,1.1801233392481274
FLAT4,EugenioTL,michi,6,g5.2xlarge,synthetic-FLAT4-run6.csv.gz,6925,0.9838108,0.9927934,0.9854652,0.9731738,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999223,0.9999854,0.515,0.504,0.0,0.0,0.0,0.103,0.104,0.098,0.508,0.099539646942,0.084499527908,0.051834650729,1.1779905687801608
FLAT5,Benels,shripad,1,g5.2xlarge,synthetic-FLAT5-run1.csv.gz,6782,0.9841189,0.9932841,0.9857799,0.9732927,,0.9900822,0.9969423,0.9919642,0.98134,,0.999937,0.9999854,0.529,0.493,0.0,0.0,0.0,0.588,0.588,0.579,0.506,0.585478910352,0.585657568915,0.504837327925,0.9996949436454291
FLAT5,Benels,shripad,2,g5.2xlarge,synthetic-FLAT5-run2.csv.gz,6870,0.9841702,0.9932841,0.9857799,0.9734467,,0.9901233,0.9969423,0.9919642,0.9814634,,0.9999371,0.9999855,0.524,0.498,0.0,0.0,0.0,0.105,0.105,0.098,0.506,0.099416089604,0.080849159008,0.048530805727,1.2296490257142045
FLAT5,Benels,shripad,3,g5.2xlarge,synthetic-FLAT5-run3.csv.gz,6910,0.9841173,0.9932841,0.9857799,0.973288,,0.9901056,0.9969423,0.9919642,0.9814104,,0.999937,0.9999854,0.527,0.502,0.0,0.0,0.0,0.588,0.589,0.579,0.505,0.584885238595,0.587727839099,0.508717088074,0.9951634067422129
FLAT5,Benels,mario,4,g5.2xlarge,synthetic-FLAT5-run4.csv.gz,6848,0.9841686,0.9932841,0.9857799,0.9734417,,0.9901449,0.9969423,0.9919642,0.9815283,,0.9999372,0.9999854,0.536,0.494,0.0,0.0,0.0,0.588,0.588,0.579,0.506,0.585660807888,0.585067130816,0.506476274229,1.0010147161594465
FLAT5,Benels,mario,5,g5.2xlarge,synthetic-FLAT5-run5.csv.gz,6791,0.9841294,0.9932841,0.9857799,0.9733241,,0.9900999,0.9969423,0.9919642,0.9813934,,0.9999371,0.9999855,0.531,0.497,0.0,0.0,0.0,0.588,0.588,0.579,0.506,0.587294663552,0.583809987731,0.504719709874,1.0059688526990491
FLAT5,Benels,mario,6,g5.2xlarge,synthetic-FLAT5-run6.csv.gz,6900,0.9840795,0.9932841,0.9857799,0.9731747,,0.9900352,0.9969423,0.9919642,0.9811991,,0.9999372,0.9999854,0.528,0.507,0.0,0.0,0.0,0.201,0.202,0.199,0.508,0.222205382326,0.249457032843,0.182140705881,0.8907561346079537
SEQU1,Gandagorn,suhas,1,g5.2xlarge,synthetic-SEQU1-run1.csv.gz,3852,0.9723216,0.9922327,0.9765458,0.9358099,0.984698,0.9721288,0.9911982,0.9744589,0.9345275,0.9883307,0.9999944,0.9999781,0.511,0.509,0.003,0.002,0.004,0.105,0.105,0.101,0.511,8.9337e-08,9.1524e-08,8.7957e-08,0.9761046282942178
SEQU1,Gandagorn,suhas,2,g5.2xlarge,synthetic-SEQU1-run2.csv.gz,3626,0.9728402,0.9935455,0.9768689,0.9356936,0.985253,0.9721046,0.9911945,0.9744351,0.9344581,0.9883307,0.9999916,0.9999779,0.505,0.513,0.003,0.003,0.004,0.105,0.106,0.101,0.511,9.221e-08,8.9238e-08,8.6382e-08,1.0333041977632849
SEQU1,Gandagorn,suhas,3,g5.2xlarge,synthetic-SEQU1-run3.csv.gz,3732,0.971469,0.9914336,0.975424,0.9350145,0.984004,0.9721166,0.9911918,0.9744407,0.9344945,0.9883393,0.9999832,0.999978,0.506,0.504,0.003,0.003,0.004,0.105,0.105,0.102,0.511,9.1947e-08,8.975e-08,8.722e-08,1.0244791086350973
SEQU1,Gandagorn,andrey,4,g5.2xlarge,synthetic-SEQU1-run4.csv.gz,4048,0.971659,0.9916764,0.9755458,0.9345353,0.9848787,0.972104,0.9911945,0.9744391,0.9344383,0.988344,0.9999949,0.9999782,0.506,0.508,0.003,0.003,0.004,0.105,0.106,0.102,0.513,8.5504e-08,8.7602e-08,8.8758e-08,0.9760507750964589
SEQU1,Gandagorn,andrey,5,g5.2xlarge,synthetic-SEQU1-run5.csv.gz,4063,0.972056,0.9924809,0.9758351,0.9349872,0.9849207,0.9721507,0.9912018,0.9744725,0.9345839,0.9883447,0.9999866,0.9999782,0.503,0.506,0.003,0.003,0.004,0.105,0.106,0.102,0.512,8.4925e-08,9.5865e-08,8.7025e-08,0.8858811870860063
SEQU1,Gandagorn,andrey,6,g5.2xlarge,synthetic-SEQU1-run6.csv.gz,3803,0.9720832,0.9926055,0.9761051,0.935359,0.9842633,0.972213,0.9912073,0.9745151,0.9347879,0.9883417,0.9999756,0.9999779,0.497,0.494,0.004,0.003,0.004,0.105,0.106,0.101,0.511,8.225e-08,9.5099e-08,8.9378e-08,0.8648881691710744
SEQU2,Benels,abhishek,1,g5.2xlarge,synthetic-SEQU2-run1.csv.gz,200,0.9630582,0.9825973,0.9652178,0.9257376,0.97868,0.9721278,0.9911982,0.9744589,0.9345275,0.9883267,0.9994705,0.9999778,0.528,0.508,0.003,0.002,0.004,0.06,0.06,0.059,0.511,1.35385e-07,1.3726e-07,1.34407e-07,0.9863397930933994
SEQU2,Benels,abhishek,2,g5.2xlarge,synthetic-SEQU2-run2.csv.gz,194,0.9623257,0.9814936,0.9643353,0.9248974,0.9785767,0.9721036,0.9911945,0.9744351,0.9344581,0.9883267,0.999468,0.9999777,0.526,0.508,0.003,0.002,0.004,0.06,0.06,0.059,0.512,1.3831e-07,1.42109e-07,1.34019e-07,0.9732669992752043
SEQU2,Benels,abhishek,3,g5.2xlarge,synthetic-SEQU2-run3.csv.gz,194,0.962327,0.9814818,0.9642685,0.9248013,0.9787563,0.9721153,0.9911918,0.9744407,0.9344945,0.988334,0.9994664,0.9999778,0.534,0.504,0.003,0.002,0.004,0.06,0.06,0.059,0.512,1.35511e-07,1.4372e-07,1.32848e-07,0.9428819927637073
SEQU2,Benels,michi,4,g5.2xlarge,synthetic-SEQU2-run4.csv.gz,190,0.9618806,0.9807464,0.96354,0.924553,0.978683,0.9721028,0.9911945,0.9744391,0.9344383,0.9883393,0.9994668,0.9999787,0.534,0.499,0.003,0.002,0.004,0.06,0.06,0.059,0.512,1.39081e-07,1.41181e-07,1.34844e-07,0.9851254772242724
SEQU2,Benels,michi,5,g5.2xlarge,synthetic-SEQU2-run5.csv.gz,190,0.9623281,0.9817009,0.9643649,0.9248842,0.9783623,0.9721492,0.9912018,0.9744725,0.9345839,0.9883387,0.9994712,0.9999778,0.528,0.501,0.003,0.002,0.004,0.06,0.06,0.059,0.511,1.35453e-07,1.41505e-07,1.3717e-07,0.9572311932440549
SEQU2,Benels,michi,6,g5.2xlarge,synthetic-SEQU2-run6.csv.gz,190,0.9622732,0.9814209,0.9642345,0.9248544,0.978583,0.9722116,0.9912073,0.9745151,0.9347879,0.988336,0.9994709,0.999978,0.524,0.496,0.003,0.002,0.004,0.06,0.06,0.059,0.511,1.35466e-07,1.38858e-07,1.3338e-07,0.9755721672499963
SEQU3,EugenioTL,shripad,1,g5.2xlarge,synthetic-SEQU3-run1.csv.gz,438,0.9666673,0.9866964,0.9694605,0.9284315,0.982081,0.9721287,0.9911982,0.9744589,0.9345275,0.98833,0.9998473,0.9999776,0.526,0.498,0.004,0.004,0.004,0.06,0.061,0.059,0.508,1.42245e-07,1.39962e-07,1.34075e-07,1.0163115702833625
SEQU3,EugenioTL,shripad,2,g5.2xlarge,synthetic-SEQU3-run2.csv.gz,454,0.9678525,0.9888882,0.9707595,0.9293218,0.9824407,0.9721044,0.9911945,0.9744351,0.9344581,0.98833,0.9998482,0.999978,0.521,0.508,0.004,0.004,0.004,0.104,0.105,0.101,0.508,8.8007e-08,8.9391e-08,8.7972e-08,0.9845174570146883
SEQU3,EugenioTL,shripad,3,g5.2xlarge,synthetic-SEQU3-run3.csv.gz,440,0.9675843,0.9883764,0.9703445,0.9293697,0.9822467,0.9721161,0.9911918,0.9744407,0.9344945,0.9883373,0.9998474,0.9999782,0.524,0.499,0.004,0.004,0.004,0.104,0.105,0.101,0.508,8.759e-08,8.992e-08,8.9873e-08,0.974088078291815
SEQU3,EugenioTL,mario,4,g5.2xlarge,synthetic-SEQU3-run4.csv.gz,432,0.9681891,0.9890236,0.9714338,0.9298932,0.9824057,0.9721037,0.9911945,0.9744391,0.9344383,0.9883427,0.9998464,0.9999777,0.516,0.502,0.004,0.004,0.004,0.104,0.105,0.101,0.507,8.6619e-08,9.0308e-08,8.8776e-08,0.9591509057890774
SEQU3,EugenioTL,mario,5,g5.2xlarge,synthetic-SEQU3-run5.csv.gz,430,0.9678957,0.9886791,0.9706176,0.929735,0.982551,0.9721501,0.9912018,0.9744725,0.9345839,0.988342,0.9998478,0.999978,0.504,0.491,0.004,0.004,0.004,0.06,0.06,0.059,0.507,1.38931e-07,1.41877e-07,1.35819e-07,0.9792355350056738
SEQU3,EugenioTL,mario,6,g5.2xlarge,synthetic-SEQU3-run6.csv.gz,432,0.9663087,0.9866391,0.9687856,0.9281683,0.9816417,0.9722124,0.9912073,0.9745151,0.9347879,0.9883393,0.9998468,0.9999779,0.512,0.501,0.004,0.004,0.004,0.06,0.06,0.059,0.508,1.42075e-07,1.43299e-07,1.34079e-07,0.9914584191096938
SEQU4,Tecnarca,suhas,1,g5.2xlarge,synthetic-SEQU4-run1.csv.gz,3900,0.9687198,0.98947,0.9721416,0.9307928,0.9824747,0.9721276,0.9911982,0.9744589,0.9345275,0.9883257,0.9998828,0.9999774,0.516,0.498,0.003,0.003,0.004,0.103,0.105,0.101,0.511,9.0018e-08,8.7931e-08,9.0114e-08,1.0237345191115763
SEQU4,Tecnarca,suhas,2,g5.2xlarge,synthetic-SEQU4-run2.csv.gz,3793,0.9690229,0.9907855,0.9725038,0.9307417,0.9820607,0.972104,0.9911945,0.9744351,0.9344581,0.9883283,0.9999192,0.999977,0.512,0.508,0.004,0.003,0.004,0.103,0.104,0.101,0.515,7.9984e-08,9.1947e-08,8.9466e-08,0.869892438034955
SEQU4,Tecnarca,suhas,3,g5.2xlarge,synthetic-SEQU4-run3.csv.gz,3916,0.9685234,0.98945,0.9717482,0.9304334,0.982462,0.9721157,0.9911918,0.9744407,0.9344945,0.9883357,0.999909,0.9999785,0.518,0.508,0.003,0.003,0.004,0.104,0.105,0.101,0.512,9.3571e-08,8.5438e-08,8.7454e-08,1.0951918350148646
SEQU4,Tecnarca,andrey,4,g5.2xlarge,synthetic-SEQU4-run4.csv.gz,3647,0.9683167,0.9891409,0.9719296,0.9304213,0.981775,0.9721032,0.9911945,0.9744391,0.9344383,0.9883407,0.9998477,0.999978,0.518,0.504,0.003,0.003,0.004,0.104,0.105,0.101,0.512,9.0874e-08,9.2677e-08,8.74e-08,0.98054533487273
SEQU4,Tecnarca,andrey,5,g5.2xlarge,synthetic-SEQU4-run5.csv.gz,3927,0.9691879,0.9908191,0.9721675,0.9306568,0.9831083,0.9721496,0.9912018,0.9744725,0.9345839,0.9883403,0.999945,0.999978,0.51,0.502,0.003,0.003,0.004,0.104,0.105,0.101,0.511,9.6435e-08,9.8727e-08,8.7942e-08,0.9767844662554317
SEQU4,Tecnarca,andrey,6,g5.2xlarge,synthetic-SEQU4-run6.csv.gz,3931,0.9691938,0.9908682,0.9728373,0.9311132,0.9819567,0.9722121,0.9912073,0.9745151,0.9347879,0.9883383,0.9999022,0.9999779,0.51,0.509,0.003,0.003,0.004,0.103,0.104,0.102,0.511,9.9568e-08,7.9969e-08,8.851e-08,1.2450824694569145
SEQU5,filomba01,abhishek,1,g5.2xlarge,synthetic-SEQU5-run1.csv.gz,243,0.9664006,0.9859545,0.9692878,0.9294332,0.980927,0.9721282,0.9911982,0.9744589,0.9345275,0.988328,0.9998638,0.9999781,0.522,0.503,0.003,0.003,0.004,0.103,0.104,0.101,0.511,9.1306e-08,8.5797e-08,9.0373e-08,1.0642097043020151
SEQU5,filomba01,abhishek,2,g5.2xlarge,synthetic-SEQU5-run2.csv.gz,242,0.9666855,0.9867118,0.9698782,0.9293795,0.9807723,0.9721039,0.9911945,0.9744351,0.9344581,0.988328,0.9998643,0.9999775,0.523,0.51,0.003,0.003,0.004,0.103,0.104,0.102,0.511,9.1837e-08,8.7473e-08,8.9061e-08,1.0498896802441897
SEQU5,filomba01,abhishek,3,g5.2xlarge,synthetic-SEQU5-run3.csv.gz,243,0.9658556,0.9854355,0.9686991,0.9282538,0.981034,0.9721156,0.9911918,0.9744407,0.9344945,0.9883353,0.9998635,0.9999784,0.515,0.503,0.003,0.003,0.004,0.103,0.104,0.102,0.511,9.0305e-08,8.3533e-08,8.7972e-08,1.0810697568625574
SEQU5,filomba01,michi,4,g5.2xlarge,synthetic-SEQU5-run4.csv.gz,336,0.9661445,0.9860382,0.969156,0.9284076,0.980976,0.9721032,0.9911945,0.9744391,0.9344383,0.9883407,0.9998643,0.9999779,0.514,0.501,0.003,0.003,0.004,0.103,0.104,0.101,0.512,9.1147e-08,8.6322e-08,9.0078e-08,1.0558953685039736
SEQU5,filomba01,michi,5,g5.2xlarge,synthetic-SEQU5-run5.csv.gz,311,0.9662212,0.9858691,0.9687805,0.928772,0.9814633,0.9721496,0.9912018,0.9744725,0.9345839,0.98834,0.9998639,0.9999782,0.517,0.51,0.003,0.003,0.004,0.103,0.104,0.101,0.512,9.2609e-08,8.3529e-08,9.0404e-08,1.108704761220654
SEQU5,filomba01,michi,6,g5.2xlarge,synthetic-SEQU5-run6.csv.gz,318,0.9667376,0.9864691,0.9696058,0.9301652,0.9807103,0.9722119,0.9912073,0.9745151,0.9347879,0.9883373,0.9998655,0.9999779,0.513,0.507,0.003,0.003,0.004,0.103,0.104,0.101,0.511,9.1951e-08,8.6673e-08,8.7647e-08,1.0608955499405812
